label,ns,ne,nw,nh,nk,na,nf,se,sw,sh,sk,sa,sf,ew,eh,ek,ea,ef,wh,wk,wa,wf,hk,ha,hh,hf,ka,kh,kf,ah,af
correct,2.051162557,7.737234718,6.505177318,43.9486255,26.53271591,41.71623387,41.8617238,8.278561337,6.064669905,44.39738508,27.07046944,42.16167995,42.6263131,3.809634708,36.22805905,18.83778315,33.99419482,34.34847329,38.62201094,21.47570696,36.38873248,37.25398852,14.73506699,29.91041155,32.14272451,6.614800763,15.21570718,17.43974392,15.8871609,2.235717745,6.266604445
correct,10.30708527,6.326911368,9.825121281,38.06276618,30.77987452,36.13585205,31.61733858,5.728701609,13.99171145,28.16736647,20.98890115,26.24109182,22.31360254,8.462522679,33.74312229,26.63129216,31.82336522,28.03695589,41.14933955,34.29135015,39.26565801,36.02078304,4.867676458,10.23762744,12.15976836,7.657945877,5.390639303,7.303225362,3.368359022,1.92881442,6.115505695
correct,8.148539107,3.394667264,9.229397982,26.62105507,23.29743409,25.44725517,20.17079224,8.679067809,15.32228145,18.47283064,15.16976276,17.29891911,12.09641754,6.798251954,26.69218623,23.57265499,25.48411888,20.64164538,32.64440647,29.73744623,31.42433811,26.98548815,2.198021105,4.817640991,5.632280574,6.816794093,2.630547443,3.543187831,3.280685925,1.220397218,5.818156259
correct,2.825764501,8.604120121,7.619432387,41.67505291,23.89442411,39.13867779,41.73156707,9.201683393,7.000439336,42.68481999,25.03836631,40.13998184,43.19625132,3.821497236,33.48682788,15.90853349,30.94183085,34.22342876,36.37920187,19.14484367,33.8411773,37.56729366,13.59308762,28.7756154,31.31669005,6.924365303,15.27349107,17.79872148,18.43235165,2.545022463,7.424026968
correct,1.529931371,11.450334,11.53984261,51.56529188,28.5682004,47.38103063,49.22750626,11.22397306,10.50930683,51.82605125,28.82123339,47.62918333,49.68925262,6.47383659,41.06627572,18.2415865,36.85950732,39.5304615,45.55058156,23.41650022,41.38132081,44.70853213,20.56993552,39.29732183,43.45055121,6.39066148,18.81524657,23.00682763,21.34125409,4.207000501,6.462609728
correct,11.99839823,4.647878093,10.46939477,43.85061639,37.9132492,42.07826385,36.68819899,8.607141797,18.37764497,31.85379791,25.93189907,30.08019992,24.82355554,10.28044396,40.15462864,34.32919553,38.36469742,33.36985126,48.35028702,42.85573179,46.55610668,42.34773654,3.953389564,8.198062991,9.671418847,8.256900119,4.400987326,6.04900771,3.048334068,1.797902485,6.906659574
correct,7.420761035,4.190038759,5.398418754,24.58111895,18.46736905,23.57750775,18.8773745,5.327377122,10.91646338,17.40038017,11.33498598,16.37393761,12.01349113,5.667631651,22.56168054,16.56685103,21.5236838,17.32423005,28.22853397,22.22022426,27.19095802,22.92750242,2.979734919,7.900985774,8.932059659,6.030911609,5.12039308,6.114139166,1.6979149,1.045640976,5.180886907
correct,12.94565149,7.591377949,10.3333996,47.28749326,37.47856886,44.75433857,40.14861618,7.007112379,16.40408024,34.61218703,24.87607988,32.07487775,27.92940242,9.599253204,41.4026437,31.74331258,38.87029966,34.90493569,49.8084709,40.42353719,47.31168412,43.88097059,4.517606685,11.81367434,14.33653426,8.267144143,7.298026527,9.81894173,4.303838437,2.537546172,6.24517944
correct,16.02630763,14.56869504,20.01309099,44.53356844,37.81810246,43.13386444,37.18612344,11.84492886,20.44938799,28.63741724,21.9351741,27.19274611,21.16752971,8.699351384,36.96453331,30.67696108,35.3652327,29.01096167,42.97194287,37.19568417,41.34008288,35.10802679,6.544836889,11.84350498,13.03216737,7.957995197,5.368212652,6.715573102,2.889188723,1.632452388,6.354362551
correct,1.744693151,11.98872055,11.7417137,52.24569151,29.02703194,48.05097472,50.30502816,11.18073226,10.24707841,52.00149239,28.73905706,47.7884361,50.28311314,6.083675681,41.36084625,18.21609837,37.13044804,40.23607043,45.77510388,23.16276923,41.56789021,45.23236186,19.95307844,38.85974189,43.02530699,5.994403032,19.04941555,23.26509329,22.09083452,4.230460744,6.448294527
correct,1.400059961,6.279311804,5.877198417,21.74992812,13.52389762,20.7423047,22.6109013,5.545501689,4.57790699,21.2011435,12.98500568,20.1821445,22.27726704,3.53024386,15.67576887,7.48830366,14.65324661,16.93256685,18.15283695,10.27763091,17.12361844,19.84042403,7.524764889,14.72613993,15.74344407,3.603024784,7.218429432,8.228266591,9.563099493,1.029905306,4.088941962
correct,9.265534465,3.366212356,6.277184239,38.67813586,30.56703927,36.77248023,31.01253964,6.915539009,14.8031644,29.46375616,21.4515958,27.54936249,21.98562665,7.902643495,36.2821862,28.34570402,34.35895284,28.89786975,44.17155728,36.24697576,42.24600874,36.78798614,3.872340135,10.44612023,12.19029616,8.331384889,6.573877129,8.335927879,1.277274723,1.932392236,6.731039624
correct,2.397213878,8.367306827,7.208231125,41.02287129,23.5283405,38.81079073,41.93097133,9.169846749,6.841288956,41.98665234,24.66207653,39.78315371,43.26513678,4.220322033,32.82238501,15.52385812,30.61714131,34.20786262,35.82270966,18.9956917,33.64525401,37.74296378,13.38002773,28.68602017,30.89931246,6.854987511,15.36976259,17.58100028,18.74920502,2.213525547,7.264562806
